Mound,Transect,ordinalYear,ordinalDate,gregorianDate,Time,RLGH,CGH,GSGH,SLANT,SPUR,ADMIRABLE,UNGH,GHTwoUNGH,GHTwUNGH
N,N1N,2021,256,9/13/2021,N/A,0,0,0,0,0,0,24,0,24
N,N2W,2021,256,9/13/2021,N/A,15,0,0,0,0,0,0,15,15
N,N3N,2021,256,9/13/2021,N/A,3,0,0,0,0,0,0,3,3
N,N4E,2021,256,9/13/2021,N/A,21,0,0,0,0,0,0,21,21
E,E1S,2021,256,9/13/2021,N/A,30,0,0,0,0,0,0,30,30
E,E2SE,2021,256,9/13/2021,N/A,0,0,0,0,0,0,14,0,14
E,E3SE,2021,256,9/13/2021,N/A,6,0,0,0,0,0,0,6,6
E,E4N,2021,256,9/13/2021,N/A,17,0,0,0,0,0,0,17,17
N,N1N,2021,257,9/14/2021,N/A,0,0,0,0,0,0,3,0,3
N,N2W,2021,257,9/14/2021,N/A,7,0,0,0,0,0,0,7,7
N,N3N,2021,257,9/14/2021,N/A,0,0,0,0,0,0,0,0,0
N,N4E,2021,257,9/14/2021,N/A,3,0,0,0,0,0,0,3,3
E,E1S,2021,257,9/14/2021,N/A,4,0,0,0,0,0,0,4,4
E,E2SE,2021,257,9/14/2021,N/A,0,0,0,0,0,0,6,0,6
E,E3SE,2021,257,9/14/2021,N/A,1,0,0,0,0,0,0,1,1
E,E4N,2021,257,9/14/2021,N/A,5,0,0,0,0,0,0,5,5
N,N1N,2021,265,9/22/2021,N/A,2,0,0,0,0,0,0,2,2
N,N2NE,2021,265,9/22/2021,N/A,10,0,0,0,0,0,0,10,10
N,N3W,2021,265,9/22/2021,N/A,1,0,0,0,0,0,0,1,1
N,N4E,2021,265,9/22/2021,N/A,7,0,0,0,0,0,0,7,7
E,E1S,2021,265,9/22/2021,N/A,1,0,0,0,0,0,0,1,1
E,E2SE,2021,265,9/22/2021,N/A,2,0,0,0,0,0,0,2,2
E,E3SE,2021,265,9/22/2021,N/A,6,1,0,0,0,0,0,7,7
E,E4N,2021,265,9/22/2021,N/A,4,0,0,0,0,0,0,4,4
N,N1N,2021,272,9/29/2021,N/A,6,0,0,0,0,0,0,6,6
N,N2NE,2021,272,9/29/2021,N/A,6,0,0,0,1,0,0,7,7
N,N3W,2021,272,9/29/2021,N/A,9,3,0,0,0,0,0,12,12
N,N4E,2021,272,9/29/2021,N/A,9,0,0,0,0,0,0,9,9
E,E1S,2021,272,9/29/2021,N/A,1,0,0,0,0,0,0,1,1
E,E2SE,2021,272,9/29/2021,N/A,2,0,0,0,0,0,0,2,2
E,E3SE,2021,272,9/29/2021,N/A,2,0,0,0,0,0,0,2,2
E,E4N,2021,272,9/29/2021,N/A,2,0,0,0,0,0,0,2,2
N,N1NE,2021,279,10/6/2021,N/A,10,0,0,0,0,0,0,10,10
N,N2N,2021,279,10/6/2021,N/A,0,0,0,0,0,0,0,0,0
N,N3W,2021,279,10/6/2021,N/A,11,1,0,0,0,0,1,12,13
N,N4E,2021,279,10/6/2021,N/A,2,0,0,0,0,0,0,2,2
E,E1S,2021,279,10/6/2021,N/A,0,0,0,0,0,0,0,0,0
E,E2SE,2021,279,10/6/2021,N/A,0,0,0,0,0,0,0,0,0
E,E3SE,2021,279,10/6/2021,N/A,0,0,0,0,0,0,0,0,0
E,E4N,2021,279,10/6/2021,N/A,1,0,0,0,0,0,1,1,2
N,N1N,2021,293,10/20/2021,N/A,2,0,0,0,0,0,0,2,2
N,N2W,2021,293,10/20/2021,N/A,7,0,0,0,1,0,0,8,8
N,N3NE,2021,293,10/20/2021,N/A,2,0,0,0,0,0,0,2,2
